id|cat_name|cat_id|fb_id|name|latitude|longitude
255510001275063|Beach|199165013440146|255510001275063|San Juan Beach, Siquijor|9.16304296|123.48744191
372022766341608|Pizza Place|180256082015845|372022766341608|The Little Molmol|9.24828785|123.591498695
792084457567057|School|365182493518892|792084457567057|Pangi Elementary School - Siquijor|9.22091|123.52792
907659565988898|School|365182493518892|907659565988898|Larena UCCP Learning Center, Inc.|9.24620408|123.59226521
732938720119673|Sports Bar|184460441595855|732938720119673|Vikings Sportsbar|9.2575903964706|123.59648215941
1484180781844738|Beach Resort|199734546726648|1484180781844738|Casa miranda beach resort|9.21556|123.514
576188065848705|City Hall|436168419731123|576188065848705|Tag-Ibo San Juan Siquijor|9.2466308540484|123.59202392399
188950181266255|Mountain|194201147294761|188950181266255|Cantabon Cave|9.2492291|123.5977887
175459635987281|Local Business|2500|175459635987281|Candaping a Maria Siquijor|9.2246715|123.5332036
1423615604589969|School|365182493518892|1423615604589969|BIT-International College Siquijor|9.2133788|123.51416097
1503270629918493|Food Stand|144362285623268|1503270629918493|Marikart Food Bar|9.247177|123.5910012
1634829550116022|Recreation Center|183013211744255|1634829550116022|Larena Queen Gate Center|9.2483215800079|123.59130338779
543284099179236|Restaurant/Cafe|1900|543284099179236|Dongsan's Restaurant|9.20441|123.51408
1463765510550733|Restaurant|273819889375819|1463765510550733|Tudia Siquijor Harbour Cafe|9.216335835|123.5133314175
159952107538531|Fire Station|150681761655205|159952107538531|Siquijor Fire Station|9.2142722115642|123.51415873342
458574020955109|Sports Bar|184460441595855|458574020955109|Get Wrecked Beach Bar|9.1578991336743|123.4931284333
484554781689281|Local Business|2500|484554781689281|Seaside, Siquijor|9.2133331|123.5139053
772917589439309|Beach|199165013440146|772917589439309|Canlambo Larena|9.26434971|123.59873992
519408784824942|Sports Venue &amp; Stadium|109976259083543|519408784824942|Siquijor Oval Grounds|9.21315|123.51552
144449502394725|Beach|199165013440146|144449502394725|Candanay Sur - Planta|9.22249|123.54076
348340791900421|Dance Club|176139629103647|348340791900421|Cesar's Place, San Juan, Siquijor|9.152145600813|123.49979073768
220359804783857|Arts &amp; Entertainment|133436743388217|220359804783857|San Juan Social Center|9.1582187047446|123.49291645791
358457274270445|Landmark|209889829023118|358457274270445|Ucieczka Do Raju.|9.223607371032|123.52486610413
425476440817566|Beach|199165013440146|425476440817566|Diamond De Siquijor Beach House|9.2137999500044|123.50151705
571535046203564|Consulting/Business Services|2248|571535046203564|Suroy Ta Sa Isla Siquijor - Let's Tour Around Siquijor Island|9.2134731894814|123.51476993379
901748006541439|Restaurant|273819889375819|901748006541439|Blue Wave Beach Resort and Restaurant|9.214250414|123.495973206
612030085627391|Tourist Attraction|186825111351005|612030085627391|Kanheron Ranch|9.21621191|123.5132368
490249694376718|Filipino Restaurant|107287559351594|490249694376718|Dapdap Sunset Grill|9.2221514|123.5187276
1473077429583364|School|365182493518892|1473077429583364|Carmelite College|9.2470666|123.59094841
488829007883229|Buffet Restaurant|176007949109829|488829007883229|Triad Hill Top Restuarant|9.2468830424057|123.59128502876
401227539990441|Local Business|2500|401227539990441|Calalinan Siquijor,Siquijor|9.2130762072643|123.51400473135
442144605880410|Restaurant|273819889375819|442144605880410|The Sylvia|9.1738435707063|123.47589643611
1492490344310259|Local Business|2500|1492490344310259|Larena Municipal Hall|9.2482855|123.5913281
227007364023295|Local Business|2500|227007364023295|Siquijor Quadrangle|9.2140472489871|123.51382493448
159825474190095|Local Business|2500|159825474190095|@SPPO, Caipilan,Siq.|9.20402318|123.485677765
1552532994966816|Marina|197251360301109|1552532994966816|Princess Bulakna, Maria, Siquijor|9.25050334|123.59181252
731333946917173|Restaurant|273819889375819|731333946917173|Black Belt Grill|9.16529|123.48536
756481877726574|Port|350040338394916|756481877726574|Puerto Isla Del Fuego|9.2139731039827|123.5124755755
228399143908704|Restaurant|273819889375819|228399143908704|The Danish Lagoon, San Juan, Siquijor|9.1757656277734|123.46954097177
1495660067349780|School|365182493518892|1495660067349780|"Siquijor STATE College-Bs in Business Administration"""|9.24734|123.59198
564991333547420|Outdoors|272705352802676|564991333547420|Brgy.nalibunan|9.22401|123.5541
601082720034454|Bar &amp; Grill|233804719972590|601082720034454|Chekesh Bar-B-Q|9.14662|123.50677
